a52dec 0.7.4-12
aalib 1.4rc5-15
accountsservice 23.13.9-1
acl 2.3.1-3
acpica 20221020-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
aic94xx-firmware 30-9
alacritty 0.12.0-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20230210.bf4115c-1
aom 3.6.0-1
apparmor 3.1.3-1
appstream 0.16.1-2
appstream-glib 0.8.2-2
appstream-qt 0.16.1-2
arandr 0.1.11-1
arc-gtk-theme 20221218-1
arch-install-scripts 28-1
archlinux-appstream-data 20230220-1
archlinux-keyring 20230320-1
archlinux-logout-git 23.04-05
archlinux-tweak-tool-git 23.04-44
arco-calamares-wayland 3.3.0.alpha4-02
arcob-calamares-config-hyprland-git 23.04-24
arcolinux-alacritty-git 23.04-01
arcolinux-arc-kde 20220908-01
arcolinux-bin-git 23.04-01
arcolinux-candy-beauty-git 23.02-03
arcolinux-common-git 23.04-01
arcolinux-config-all-desktops-git 22.07-01
arcolinux-conky-collection-git 23.04-01
arcolinux-dconf-all-desktops-git 22.07-01
arcolinux-desktop-trasher-git 23.04-01
arcolinux-fonts-git 21.07-01
arcolinux-foot-git 21.12-01
arcolinux-grub-theme-vimix-git 20230305-03
arcolinux-gtk3-arcolinux-candy-beauty-git 23.04-02
arcolinux-hblock-git 3.4.1-1
arcolinux-hyprland-git 23.04-06
arcolinux-hyprland-profile-git 23.01-04
arcolinux-keyring 20251209-3
arcolinux-kitty-git 23.01-01
arcolinux-kvantum-git 22.06-01
arcolinux-local-applications-all-hide-git 23.01-01
arcolinux-local-applications-git 22.04-01
arcolinux-local-xfce4-git 23.04-01
arcolinux-mirrorlist-git 22.12-01
arcolinux-neofetch-git 22.07-04
arcolinux-pamac-all 10.5.0-1
arcolinux-paru-git 21.07-01
arcolinux-pipemenus-git 23.04-03
arcolinux-qt5-git 21.07-01
arcolinux-rofi-git 23.04-01
arcolinux-rofi-themes-git 23.04-01
arcolinux-root-git 23.04-07
arcolinux-sddm-simplicity-git 23.03-03
arcolinux-system-config-git 23.03-12
arcolinux-system-installation-git 23.04-04
arcolinux-systemd-services-git 23.03-01
arcolinux-variety-autostart-git 21.07-01
arcolinux-variety-git 22.12-02
arcolinux-wallpapers-git 23.04-01
arcolinux-wayland-app-hooks-git 23.04-08
arcolinux-wayland-profile-git 23.01-06
arcolinux-welcome-app-git 22.11-01
arcolinux-xfce-git 23.03-01
arcolinux-zsh-git 23.04-07
argon2 20190702-4
at-spi2-core 2.48.0-2
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
azote 1.11.0-1
base 3-1
base-devel 1-1
bash 5.1.016-3
bash-completion 2.11-3
bashtop 0.9.25-1
bat 0.23.0-3
bc 1.07.1-4
betterlockscreen 4.0.4-2
bibata-cursor-theme-bin 2.0.3-1
bind 9.18.13-1
binutils 2.40-4
bison 3.8.2-5
blas 3.11.0-2
blueberry 1.4.8-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-tools 0.2.0-5
bluez-utils 5.66-1
boost-libs 1.81.0-3
broadcom-wl-dkms 6.30.223.271-36
brotli 1.0.9-10
btrfs-progs 6.2.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cava 0.8.3-1
cblas 3.11.0-2
cdparanoia 10.2-8
chaotic-keyring 20220803-1
chaotic-mirrorlist 20230412-1
chromaprint 1.5.1-7
chrono-date 3.0.1-3
cifs-utils 7.0-3
ckbcomp 1.210-1
clipman 1.6.1-1
clonezilla 3.35.2-5
conky-lua-archers 1.11.3-2
coreutils 9.2-3
cracklib 2.9.8-1
cryptsetup 2.6.1-3
cups 1:2.4.2-6
cups-filters 1.28.17-2
cups-pdf 3.0.1-7
curl 8.0.1-1
dav1d 1.1.0-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.2.18-4
dconf 0.40.0-2
dconf-editor 43.0-1
ddcutil 1.3.0-1
ddrescue 1.27-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.20-1
dex 0.9.0-1
dhclient 4.4.3.P1-1
dialog 1:1.3_20230209-1
diffutils 3.9-1
ding-libs 0.6.2-1
dkms 3.0.10-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.2.1-1
downgrade 11.3.0-1
drbl 2.30.5-3
duf 0.8.1-2
duktape 2.7.0-5
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
edid-decode-git r651.2d44e1b-1
edk2-shell 202211-3
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.11-4
eglexternalplatform 1.1-2
enchant 2.3.4-1
endeavouros-keyring 20220614-1
endeavouros-mirrorlist 4.11-1
ethtool 1:6.2-1
exfatprogs 1.2.0-1
exiv2 0.27.6-1
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
f2fs-tools 1.16.0-1
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.31-2
fatresize 1.1.0-1
fcft 3.1.5-2
feh 3.10-1
ffmpeg 2:6.0-4
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.44-3
file-roller 43.0-1
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 112.0.1-1
flac 1.4.2-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.2-1
fmt 9.1.0-4
fontconfig 2:2.14.2-1
foot 1.14.0-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.12-1
fsarchiver 0.8.7-1
fuse-common 3.14.1-1
fuse2 2.9.9-4
fuse3 3.14.1-1
fzf 0.39.0-1
garcon 4.18.1-1
gawk 5.2.1-2
gc 8.2.2-1
gcc 12.2.1-2
gcc-libs 12.2.1-2
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-6
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.21.1-5
ghostscript 10.01.1-1
giflib 5.2.1-2
git 2.40.0-1
gksu 2.0.2-6
glib-networking 1:2.76.0-1
glib2 2.76.1-1
glibc 2.37-2
glibmm 2.66.6-1
glslang 12.1.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-bluetooth 3.34.5-4
gnome-disk-utility 44.0-1
gnome-keyring 1:42.1-2
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnutls 3.8.0-1
gobject-introspection-runtime 1.76.1-1
gpart 0.3-4
gparted 1.5.0-1
gperftools 2.10-1
gpgme 1.19.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.10-1
grim 1.4.0-3
groff 1.22.4-10
grub 2:2.06.r499.ge67a551a4-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.0-2
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.1-2
gst-plugins-bad 1.22.1-2
gst-plugins-bad-libs 1.22.1-2
gst-plugins-base 1.22.1-2
gst-plugins-base-libs 1.22.1-2
gst-plugins-good 1.22.1-2
gst-plugins-ugly 1.22.1-2
gstreamer 1.22.1-2
gtk-layer-shell 0.8.0-1
gtk-update-icon-cache 1:4.10.1-2
gtk2 2.24.33-3
gtk3 1:3.24.37-1
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gutenprint 5.3.4-2
gvfs 1.50.4-1
gvfs-afc 1.50.4-1
gvfs-gphoto2 1.50.4-1
gvfs-mtp 1.50.4-1
gvfs-nfs 1.50.4-1
gvfs-smb 1.50.4-1
gzip 1.12-2
hardcode-fixer-git 2.0-1
hardinfo-gtk3 0.5.1.816.g877ea2b-2
harfbuzz 7.1.0-1
harfbuzz-icu 7.1.0-1
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.13.1-2
highway 1.0.4-1
htop 3.2.2-1
http-parser 2.9.4-1
hw-probe 1.6.5-1
hwdata 0.369-1
hwinfo 22.2-2
hwloc 2.9.1-1
hyperv 6.2-1
hyphen 2.8.8-5
hyprland-dev r2704.801a1719-1
hyprpicker-git r35.f6c24d9-1
i2c-tools 4.3-3
i3lock-color 2.13.c.4-1
iana-etc 20230405-1
icu 72.1-2
ijs 0.35-5
imagemagick 7.1.1.7-1
imath 3.1.7-1
imlib2 1.11.0-1
iniparser 4.1-4
intel-ucode 20230214-1
intltool 0.51.0-6
inxi 3.3.24.1-1
iproute2 6.2.0-2
iptables 1:1.8.9-1
iputils 20221126-1
irssi 1.4.4-1
iso-codes 4.13.0-1
iw 5.19-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kactivities 5.105.0-1
karchive 5.105.0-1
kauth 5.105.0-1
kbd 2.5.1-1
kbookmarks 5.105.0-1
kcodecs 5.105.0-1
kcompletion 5.105.0-1
kconfig 5.105.0-1
kconfigwidgets 5.105.0-1
kcoreaddons 5.105.0-1
kcrash 5.105.0-1
kdbusaddons 5.105.0-1
kdeclarative 5.105.0-1
kded 5.105.0-1
keyutils 1.6.3-1
kglobalaccel 5.105.0-1
kguiaddons 5.105.0-1
ki18n 5.105.0-1
kiconthemes 5.105.0-1
kio 5.105.0-1
kirigami2 5.105.0-1
kitemviews 5.105.0-1
kitty 0.28.0-1
kitty-shell-integration 0.28.0-1
kitty-terminfo 0.28.0-1
kjobwidgets 5.105.0-1
kmod 30-3
knotifications 5.105.0-1
kpackage 5.105.0-1
kpmcore 22.12.3-1
krb5 1.20.1-1
kservice 5.105.0-1
ktextwidgets 5.105.0-1
kvantum 1.0.10-1
kwallet 5.105.0-1
kwayland 5.105.0-1
kwidgetsaddons 5.105.0-1
kwindowsystem 5.105.0-1
kxmlgui 5.105.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
laptop-detect 0.16-1
lbzip2 2.5-5
lcms2 2.15-1
ldb 2:2.7.2-1
ldns 1.8.3-2
less 1:608-2
lf 28-1
libaio 0.3.113-2
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.2-2
libass 0.17.1-1
libassuan 2.5.5-2
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libavc1394 0.5.4-5
libavif 0.11.1-1
libavtp 0.2.0-2
libb2 0.98.1-2
libblockdev 2.28-1
libbluray 1.3.4-1
